Station,Abk
Allach,MMAL
Altenerding,MANE
Altomünster,MAMT
Arnbach,MANB
Aubing,MMAU
Aufhausen,MAFE
Aying,MAY
Bachern,MBCN
Baierbrunn,MBAB
Baldham,MBDH
BergamLaim,MBAL
Buchenau,MBAU
Buchenhain,MBHA
Dachau,MDA
DachauStadt,MDAS
Daglfing,MDFG
Deisenhofen,MDS
Donnersbergerbrücke,MMDN
Dürrnhaar,MDHR
Ebenhausen-Schäftlarn,MEBS
Ebersberg,MEG
Eching,MEC
Eglharting,MEGL
Eichenau,MEIC
Englschalking,MEGS
Erding,MER
Erding-Fliegerhorst
Erdweg,MEWG
Esting,MESG
Fasanenpark,MFP
Fasanerie,MFAS
Fasangarten,MFG
Feldafing,MFA
Feldkirchen,MFK
Feldmoching,MFE
FlughafenBesucherpark,MFHB
FlughafenMünchen,MFHT
Freiham,MFH
Freiham,MFHH
Freising,MFR
Fürstenfeldbruck,MFB
Furth,MFU
Gauting,MGT
Geisenbrunn,MGIB
Geltendorf,MGE
Gelting
GeretsriedMitte
GeretsriedSüd
Germering-Unterpfaffenhofen,MUG
Gernlinden,MGLD
Giesing,MGI
Gilching-Argelsried,MGCH
Gräfelfing,MGFL
GrafingBahnhof,MGB
GrafingStadt,MGRS
Grafrath,MGF
Gröbenzell,MGRZ
Gronsdorf,MGDF
Großhelfendorf,MGHD
Großhesselohe,MGO
GroßhesseloheIsartalbahnhof,MGOI
Grub,MGRB
Haar,MHR
Hackerbrücke,MHAB
Hallbergmoos,MHMO
Harras,MHAR
Harthaus,MHHS
Hauptbahnhof–HolzkirchnerBf.,MHS
Hauptbahnhof–StarnbergerBf.,MHN
Hauptbahnhof,MHT
Hebertshausen,MHSN
Heimeranplatz,MHP
Heimstetten,MHEM
Herrsching,MHI
Hirschgarten,MMHG
Hohenbrunn,MHOB
Höhenkirchen-Siegertsbrunn,MHSB
Hohenschäftlarn,MHSL
Höllriegelskreuth,MHRK
Holzkirchen,MHO
Icking,MIC
Isartor,MIT
Ismaning,MIS
Johanneskirchen,MJK
Karlsfeld,MKF
Karlsplatz_Stachus,MKA
Kirchseeon,MKO
Kleinberghofen,MKHN
Kreuzstraße,MKZ
Laim,ML
Langwied,MLW
Leienfelsstraße,MLEF
Leuchtenbergring,MLEU
Lochham,MLCH
Lochhausen,MLO
Lohhof,MLH
Maisach,MMA
Malching,MMAG
Mammendorf,MMAM
Marienhof
Marienplatz,MMP
MarktIndersdorf,MIDR
MarktSchwaben,MSB
Menterschwaige[4]
Mittersendling,MMT
Moosach,MMCH
Mühlthal,MMTL
Neuaubing,MNA
Neubiberg,MNB
Neufahrn,MNF
Neugilching,MNGH
NeuperlachSüd,MNPS
Niederroth,MNRO
Obermenzing,MOZ
Oberschleißheim,MOSM
Olching,MOL
Olympiastadion,MOLY
Ostbahnhof,MOP
Ottenhofen,MONH
Otterfing,MOTF
Ottobrunn,MOBR
Pasing,MP
Peiß,MPEI
Perlach,MPER
Petershausen,MPE
Planegg,MPL
Poing,MPO
Possenhofen,MPH
Puchheim,MPM
Pullach,MPUL
Pulling,MPU
Riem,MRI
Röhrmoos,MRM
RosenheimerPlatz,MRP
Sauerlach,MSR
Schöngeising,MSNG
Schwabhausen,MSHH
Schwaigerloh
Seefeld-Hechendorf,MSH
Siemenswerke,MSW
Solln,MSN
St.Koloman,MKL
St.-Martin-Straße,MMAR
Starnberg,MST
StarnbergNord,MSNO
Steinebach,MSA
Stockdorf,MSD
Taufkirchen,MTU
Trudering,MTR
Türkenfeld,MTFD
Tutzing,MTZ
Unterföhring,MUFG
Unterhaching,MUH
Untermenzing,MAUG
Unterschleißheim,MUSM
Vaterstetten,MVS
Vierkirchen-Esterhofen,MESH
Wächterhof,MWAE
Weßling,MWS
Westkreuz,MWKR
Wolfratshausen,MWO
Zorneding,MZO